Game,Genre,metascore,userscore,id
Agents of Mayhem,Action Adventure,67.66666666666667,61.333333333333336,121
Aggressors: Ancient Rome,Strategy,76.0,79.0,122
Agony,General,39.333333333333336,45.333333333333336,123
AiRace Speed,Driving,68.0,76.0,124
AiRace Xeno,Driving,66.0,80.0,125
Air Conflicts: Vietnam,Action,43.0,28.0,126
Air Conflicts: Vietnam Ultimate Edition,Action,30.0,16.0,127
Airheart: Tales of Broken Wings,Action,63.0,57.0,128
Airscape: The Fall of Gravity,Action,75.0,66.0,129
Akaneiro: Demon Hunters,Role-Playing,53.0,65.0,130
Akiba's Beat,Action Adventure,55.0,67.0,131
Akiba's Trip: Undead & Undressed,Action Adventure,60.5,71.0,132
Alan Wake,Action Adventure,83.0,80.0,133
Alan Wake's American Nightmare,Action Adventure,73.0,66.0,134
Albion Online,Role-Playing,72.0,47.0,135
Alekhine's Gun,Historic,38.0,42.5,136
Alice: Madness Returns,Action Adventure,75.0,84.0,137
Alien Breed,Action,64.0,72.0,138
Alien Breed (PS Mobile),Action,68.0,58.0,139
Alien Rage,Action,52.0,68.0,140
Alien: Isolation,Action Adventure,79.33333333333333,81.66666666666667,141
Alienation,Sci-Fi,79.0,78.0,142
Aliens: Colonial Marines,Action,45.0,35.0,143
All-Star Fruit Racing,Racing,60.0,36.0,144
Alone With You,Adventure,73.0,62.0,145
Alone in the Dark: Illumination,Horror,19.0,12.0,146
Alpha Polaris: A Horror Adventure Game,Adventure,52.0,46.0,147
Alwa's Awakening,Action Adventure,71.0,67.0,148
Always Sometimes Monsters,General,73.0,72.0,149
Amazing Discoveries In Outer Space,Action,71.0,64.0,150
American Truck Simulator,Simulation,76.0,68.0,151
Amnesia Collection,Miscellaneous,78.0,73.0,152
Amnesia: A Machine for Pigs,Action Adventure,72.0,59.0,153
Amnesia: Memories,Adventure,72.0,70.0,154
Among the Sleep,Modern,66.0,70.0,155
Amplitude,Miscellaneous,74.0,72.0,156
Anamorphine,Adventure,55.0,36.0,157
Anarcute,Action,76.5,74.5,158
Ancestors Legacy,Strategy,77.0,74.0,159
Ancient Amuletor,Adventure,60.0,66.0,160
Ancient Space,Strategy,68.0,74.0,161
Angry Birds Trilogy,Action,62.0,46.0,162
Angry Birds VR: Isle of Pigs,Puzzle,78.0,38.0,163
Angry Video Game Nerd Adventures,Action,77.0,76.0,164
Anima: Gate of Memories,Role-Playing,62.0,77.0,165
Animal Crossing: Happy Home Designer,Simulation,66.0,69.0,166
Animal Crossing: New Leaf,Simulation,88.0,88.0,167
Animal Crossing: amiibo Festival,Miscellaneous,46.0,43.0,168
Animal Force,Action,57.0,57.0,169
Anna,Adventure,55.0,51.0,170
Anna's Quest,Adventure,74.0,69.0,171
Anno 2070,Strategy,83.0,71.0,172
Anno 2205,Strategy,72.0,60.0,173
Anodyne,Adventure,75.0,66.0,174
Anomaly 2,Action,75.5,73.0,175
Anomaly Defenders,Strategy,70.0,65.0,176
Anomaly: Warzone Earth,Strategy,80.0,73.0,177
Another Sight,Adventure,67.0,55.0,178
Another World,Action,75.0,75.0,179
Another World: 20th Anniversary Edition,Action,73.0,72.0,180
Anthem,Role-Playing,59.666666666666664,39.666666666666664,181
Antichamber,Miscellaneous,82.0,82.0,182
Antigraviator,Racing,65.0,49.0,183
Antihero,Strategy,81.0,67.0,184
Ape Out,Action,83.5,57.0,185
Apex Construct,Action,72.0,70.0,186
Apex Legends,Action,88.33333333333333,65.66666666666667,187
Apocalipsis,Adventure,73.0,68.0,188
Apollo Justice: Ace Attorney,Adventure,77.0,78.0,189
Aporia: Beyond The Valley,Adventure,71.0,68.0,190
Apotheon,Platformer,77.0,75.0,191
Aqua Kitty UDX,Action,75.0,77.0,192
Ar nosurge Plus: Ode to an Unborn Star,Role-Playing,77.0,81.0,193
Aragami,Action Adventure,71.0,71.5,194
Aragami: Shadow Edition,Action Adventure,77.5,63.0,195
Arcania: Fall of Setarrif,Role-Playing,41.0,19.0,196
Archangel,Action,69.0,69.0,197
Archangel: Hellfire,Simulation,79.0,84.0,198
ArcheAge,Role-Playing,80.0,37.0,199
Arena of Valor,Strategy,80.0,75.0,200
Arizona Sunshine,Action,63.0,66.0,201
Arktika.1,Action,71.0,86.0,202
Arma 3,Simulation,74.0,75.0,203
Armello,Miscellaneous,76.33333333333333,71.0,204
Armikrog,General,56.0,61.666666666666664,205
Armillo,Action,72.0,80.0,206
Army Corps of Hell,Strategy,57.0,66.0,207
Arslan: The Warriors of Legend,Action,69.0,65.0,208
Art Academy: Home Studio,Miscellaneous,82.0,79.0,209
Art Academy: Lessons for Everyone,Miscellaneous,81.0,76.0,210
Art of Balance,Puzzle,82.0,85.0,211
Art of Balance Touch!,Miscellaneous,82.0,75.0,212
Artifact,Strategy,76.0,21.0,213
Asemblance,Adventure,61.0,52.0,214
Ash of Gods: Redemption,Strategy,65.0,76.0,215
Ashen,Role-Playing,80.0,69.0,216
Ashes Cricket,Sports,73.0,76.0,217
Ashes of the Singularity,Strategy,69.0,68.0,218
Asphalt 3D,Driving,43.0,43.0,219
Asphalt: Injection,Driving,49.0,50.0,220
Assassin's Creed Chronicles: China,Historic,67.66666666666667,54.666666666666664,221
Assassin's Creed Chronicles: India,Action Adventure,63.333333333333336,44.666666666666664,222
Assassin's Creed Chronicles: Russia,Action Adventure,58.333333333333336,42.666666666666664,223
Assassin's Creed III,Action Adventure,82.5,67.5,224
Assassin's Creed III Remastered,Action Adventure,74.0,50.0,225
Assassin's Creed III: Liberation,Action Adventure,70.0,72.0,226
Assassin's Creed IV: Black Flag,Action Adventure,83.5,78.5,227
Assassin's Creed IV: Black Flag - Freedom Cry,Action Adventure,73.5,67.5,228
Assassin's Creed Liberation HD,Action Adventure,66.0,57.0,229
Assassin's Creed Odyssey,Action Adventure,85.33333333333333,57.0,230
Assassin's Creed Origins,Action Adventure,83.33333333333333,71.66666666666667,231
Assassin's Creed Origins: The Curse of the Pharaohs,Action Adventure,83.0,76.0,232
Assassin's Creed Origins: The Hidden Ones,Action Adventure,73.0,70.0,233
Assassin's Creed Rogue,Historic,74.0,73.0,234
Assassin's Creed Rogue Remastered,Action Adventure,71.0,64.0,235
Assassin's Creed Syndicate,Historic,76.0,64.33333333333333,236
Assassin's Creed Syndicate: Jack the Ripper,Action Adventure,72.0,66.0,237
Assassin's Creed Unity,Action Adventure,70.66666666666667,41.666666666666664,238
Assassin's Creed Unity: Dead Kings,Action Adventure,66.0,59.0,239
Assassin's Creed: Brotherhood,Action Adventure,88.0,82.0,240
Assassin's Creed: Revelations,Action Adventure,80.0,74.0,241
Assassin's Creed: The Ezio Collection,Miscellaneous,71.5,74.0,242
Assault Android Cactus,General,82.66666666666667,66.0,243
Assault Android Cactus+,Action,87.0,87.0,244
Assault Suit Leynos,Action,67.0,67.0,245
Assetto Corsa,Driving,73.66666666666667,70.33333333333333,246
Astebreed,Action,86.0,73.0,247
Asterix & Obelix XXL 2,Action,61.0,59.0,248
Astro Bears Party,Action,57.0,69.0,249
Astro Bot: Rescue Mission,Action Adventure,90.0,88.0,250
Astro Duel Deluxe,Action,59.0,63.0,251
Atelier Ayesha Plus: The Alchemist of Dusk,Console-style RPG,76.0,84.0,252
Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,Role-Playing,75.0,82.0,253
Atelier Firis: The Alchemist and the Mysterious Journey,Role-Playing,74.0,70.0,254
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Role-Playing,68.0,70.0,255
Atelier Meruru Plus: The Apprentice of Arland,Role-Playing,74.0,81.0,256
Atelier Rorona Plus: The Alchemist of Arland,Role-Playing,79.0,79.0,257
Atelier Shallie Plus: Alchemists of the Dusk Sea,Role-Playing,78.0,77.0,258
Atelier Sophie: The Alchemist of the Mysterious Book,Role-Playing,75.0,76.0,259
Atlas Reactor,Turn-Based,81.0,75.0,260
Atom Zombie Smasher,Strategy,75.0,71.0,261
Atomic Ninjas,Action,61.0,66.0,262
Attack of the Earthlings,Strategy,71.0,70.0,263
Attack of the Friday Monsters! A Tokyo Tale,Action,77.0,76.0,264
Attack on Titan,Action,75.5,67.0,265
Attack on Titan 2,Action,73.66666666666667,70.66666666666667,266
Attack on Titan: Humanity in Chains,Action,46.0,45.0,267
Attentat 1942,Adventure,75.0,67.0,268
Attractio,Puzzle,58.0,61.0,269
Audiosurf 2,Miscellaneous,76.0,71.0,270
Aurion: Legacy of the Kori-Odan,Action,69.0,78.0,271
Avadon: The Black Fortress,Role-Playing,75.0,77.0,272
Aven Colony,Strategy,71.66666666666667,72.66666666666667,273
Avernum 2: Crystal Souls,PC-style RPG,78.0,77.0,274
Aviary Attorney,Adventure,77.0,72.0,275
Awesomenauts Assemble!,Strategy,77.5,71.0,276
Axiom Verge,Sci-Fi,85.0,81.25,277
Azure Striker Gunvolt,Action,77.0,81.0,278
Azure Striker Gunvolt 2,Action,76.0,80.0,279
Azure Striker Gunvolt: Striker Pack,Miscellaneous,82.0,75.0,280
BADLAND: Game of the Year Edition,Action,74.5,66.0,281
BOXBOY!,Puzzle,80.0,80.0,282
BRAWL,Action,61.0,60.5,283
BUTCHER,Action,71.0,63.666666666666664,284
BYE-BYE BOXBOY!,Puzzle,83.0,77.0,285
Baba Is You,Action Adventure,84.0,78.0,286
Baboon!,Action,73.0,76.0,287
Back in 1995,Action Adventure,52.0,50.0,288
Back to Bed,General,59.5,55.5,289
Back to the Future: The Game - Episode II: Get Tannen!,Action Adventure,74.0,73.0,290
Back to the Future: The Game - Episode III: Citizen Brown,Action Adventure,71.0,59.0,291
Back to the Future: The Game - Episode IV: Double Visions,Action Adventure,71.0,61.0,292
Back to the Future: The Game - Episode V: OUTATIME,Action Adventure,75.0,72.0,293
Bad Apple Wars,Adventure,78.0,76.0,294
Bad Bots,Action,49.0,46.0,295
Bad North,Action,72.5,67.0,296
Baja: Edge of Control HD,Racing,65.0,59.0,297
Baldur's Gate II: Enhanced Edition,PC-style RPG,78.0,74.0,298
Baldur's Gate: Enhanced Edition,Role-Playing,78.0,66.0,299
Baldur's Gate: Siege of Dragonspear,Role-Playing,77.0,37.0,300
Banished,General,73.0,81.0,301
Baseball Riot,Puzzle,51.0,56.0,302
Basement Crawl,Action,27.0,28.0,303
Bastion,Action,88.33333333333333,82.33333333333333,304
Batman: Arkham City,Action Adventure,91.0,87.0,305
Batman: Arkham City - Armored Edition,Action Adventure,85.0,84.0,306
Batman: Arkham Knight,General,80.66666666666667,58.666666666666664,307
Batman: Arkham Knight - A Matter of Family,Action Adventure,61.5,60.0,308
Batman: Arkham Origins,Action Adventure,74.0,75.0,309
Batman: Arkham Origins Blackgate,Action Adventure,64.5,67.0,310
Batman: Arkham Origins Blackgate - Deluxe Edition,Action Adventure,60.0,57.0,311
Batman: Arkham VR,Action,74.0,72.0,312
Batman: Return to Arkham,Miscellaneous,73.0,81.0,313
Batman: The Enemy Within - Episode 1: The Enigma,Adventure,74.33333333333333,49.333333333333336,314
Batman: The Enemy Within - Episode 2: The Pact,Adventure,69.0,60.0,315
Batman: The Enemy Within - Episode 3: The Fractured Mask,Adventure,70.5,66.0,316
Batman: The Enemy Within - Episode 4: What Ails You,Adventure,77.0,70.5,317
Batman: The Enemy Within - Episode 5: Same Stitch,Adventure,85.0,75.0,318
Batman: The Enemy Within - The Telltale Series,Adventure,79.0,62.0,319
Batman: The Telltale Series,Action,68.0,68.0,320
Batman: The Telltale Series - Episode 1: Realm of Shadows,Adventure,69.66666666666667,65.66666666666667,321
Batman: The Telltale Series - Episode 2: Children of Arkham,Adventure,74.0,68.33333333333333,322
Batman: The Telltale Series - Episode 3: New World Order,Adventure,73.33333333333333,72.0,323
Batman: The Telltale Series - Episode 4: Guardian of Gotham,Adventure,73.66666666666667,61.333333333333336,324
Batman: The Telltale Series - Episode 5: City of Light,Adventure,72.66666666666667,67.0,325
Battle Brothers,Strategy,80.0,77.0,326
Battle Chasers: Nightwar,Role-Playing,79.5,71.5,327
Battle Chef Brigade,Action,81.0,83.0,328
Battle Princess Madelyn,Action,67.5,60.0,329
Battle Worlds: Kronos,Strategy,71.0,71.0,330
Battle: Los Angeles,Action,38.0,32.0,331
BattleBlock Theater,Action,85.0,79.0,332
BattleTech,Strategy,78.0,70.0,333
Battleborn,Sci-Fi,69.33333333333333,70.33333333333333,334
Battlefield 1,Action,88.0,75.33333333333333,335
Battlefield 1: They Shall Not Pass,Action,76.0,48.0,336
Battlefield 3,Action,89.0,76.0,337
Battlefield 3: Armored Kill,Action,87.0,71.0,338
Battlefield 3: Back to Karkand,Action,86.0,72.0,339
Battlefield 3: Close Quarters,Action,73.0,69.0,340
Battlefield 3: End Game,Action,78.0,73.0,341
Battlefield 4,Action,83.0,65.5,342
Battlefield Hardline,Modern,71.66666666666667,47.333333333333336,343
Battlefield V,Action,77.33333333333333,25.0,344
Battlefield: Play4Free,Action,68.0,20.0,345
Battlefleet Gothic: Armada,Sci-Fi,77.0,74.0,346
Battlefleet Gothic: Armada 2,Strategy,77.0,77.0,347
Battlerite,Strategy,85.0,74.0,348
Battleship,Miscellaneous,65.0,66.0,349
Battlestar Galactica Deadlock,Strategy,77.0,74.0,350
Battlezone,Action,66.0,71.0,351
Battlezone 98 Redux,Simulation,75.0,87.0,352
Bayonetta,Action,86.66666666666667,83.66666666666667,353
Bayonetta + Bayonetta 2,Miscellaneous,90.0,87.0,354
Bayonetta 2,Action Adventure,91.5,86.5,355
Bear With Me: Episode 1,Adventure,68.0,61.0,356
Beat Cop,Simulation,71.0,75.0,357
Beat Saber,Action,84.0,84.0,358
Beatbuddy: Tale of the Guardians,General,75.0,74.0,359
Bedlam: The Game by Christopher Brookmyre,Action,53.0,49.0,360
Before the Echo,Action,70.0,74.0,361
Beholder,Strategy,75.0,79.0,362
Beholder: Complete Edition,Strategy,63.0,58.0,363
Below,Action,70.0,70.5,364
Ben 10: Omniverse,Role-Playing,43.0,60.0,365
Bendy and the Ink Machine,Adventure,70.5,69.5,366
Berserk and the Band of the Hawk,Action,66.0,67.0,367
Betrayer,Modern,62.0,72.0,368
Between Me and The Night,Action Adventure,62.0,57.0,369
Beyblade: Evolution,Action,49.0,63.0,370
Beyond Eyes,Action Adventure,57.333333333333336,55.333333333333336,371
Beyond: Two Souls,Adventure,72.0,78.0,372
Bientot l'ete,Simulation,62.0,44.0,373
Big Pharma,Strategy,72.0,63.0,374
Big Sky: Infinity,Action,71.0,52.0,375
BigFest,Action,59.0,57.0,376
Binary Domain,Action,68.0,77.0,377
BioShock Infinite,Action,94.0,86.0,378
BioShock Infinite: Burial at Sea - Episode One,Action,70.0,77.0,379
BioShock Infinite: Burial at Sea - Episode Two,Shooter,80.0,85.0,380
BioShock: The Collection,Action,82.66666666666667,80.0,381
Bird Mania 3D,Action,51.0,64.0,382
Birthdays the Beginning,Strategy,65.0,65.0,383
Bit Boy!! Arcade,Action,53.0,38.0,384
Bit.Trip Fate,Action,74.0,64.0,385
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,Action,84.0,78.0,386
Bit.Trip Saga,Miscellaneous,75.0,79.0,387
Black Clover: Quartet Knights,Action Adventure,53.0,52.0,388
Black Desert Online,Role-Playing,73.0,70.0,389
Black Mesa,Action,86.0,89.0,390
Black Mirror,Adventure,57.0,46.333333333333336,391
Black Mirror II: Reigning Evil,Adventure,71.0,77.0,392
Black Mirror III: Final Fear,Adventure,75.0,79.0,393
Black The Fall,Action,68.66666666666667,71.33333333333333,394
Blackguards,General,68.0,71.0,395
Blackguards 2,Strategy,74.0,74.0,396
Blacklight: Retribution,Action,66.5,68.5,397
Blackwood Crossing,Adventure,73.0,68.0,398
